Timestamp,Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,E2E_Avg,E2E_P50,E2E_P90,E2E_P99,Exec_Avg,Exec_P50,Exec_P90,Exec_P99
2025-07-24_02-46-35-047966,meta-llama/Meta-Llama-3-8B,1,1,1,9.535591900000002,10.270596999999999,11.4449644,11.74645666,9.51049072,10.202413,11.406187899999999,11.738192719999999
2025-07-24_02-47-05-127146,meta-llama/Meta-Llama-3-8B,1,2,1,5.6024847399999995,5.767011500000001,6.3968963,6.75547306,5.590956013333335,5.7566705,6.383109,6.731115
2025-07-24_02-47-35-865972,meta-llama/Meta-Llama-3-8B,1,4,1,6.258280453333334,6.4010435,6.878038,7.148106189999999,6.246311146666667,6.3933425,6.8761544,7.142447349999999
2025-07-24_02-48-07-644640,meta-llama/Meta-Llama-3-8B,1,8,1,5.579499006666667,5.706377,6.0806447,6.25895976,5.569477406666667,5.694991,6.0801088,6.2567032000000005
2025-07-24_02-48-40-146429,meta-llama/Meta-Llama-3-8B,2,1,1,5.995121593333333,6.1081535,6.5098305,6.7108789699999996,5.987975639999999,6.092776499999999,6.498685200000001,6.70324073
2025-07-24_02-49-14-711373,meta-llama/Meta-Llama-3-8B,2,2,1,4.330292393333334,4.367316499999999,4.6059365,4.68630978,4.325797353333332,4.3639505,4.603678899999999,4.68008649
2025-07-24_02-49-50-678672,meta-llama/Meta-Llama-3-8B,2,4,1,5.2450254733333335,5.304819999999999,5.483973000000001,5.593641799999999,5.240274753333333,5.298840500000001,5.4802013,5.589260799999999
2025-07-24_02-50-26-383987,meta-llama/Meta-Llama-3-8B,4,1,1,5.15129358,5.187639,5.3547366,5.43890747,5.147237433333333,5.1839705,5.3486747999999995,5.436623310000001
2025-07-24_02-51-05-688871,meta-llama/Meta-Llama-3-8B,4,2,1,3.899681953333334,3.9097850000000003,4.0283729,4.068610239999999,3.8965416599999996,3.9063555,4.0267218,4.062312079999999
2025-07-24_02-51-47-105622,meta-llama/Meta-Llama-3-8B,8,1,1,4.8719556399999995,4.8886105,4.9627333,4.967004370000001,4.868038526666667,4.8847685,4.957508,4.95965715
